import time: self [us] | cumulative | imported package
import time:     33585 |      33585 |                 fastapi.param_functions
import time:     31571 |      65155 |               fastapi.security.oauth2
import time:     32718 |      32718 |               fastapi.security.open_id_connect_url
import time:     45721 |     626553 |             fastapi.security
import time:       116 |     626668 |           fastapi.security.base
import time:     88673 |     717304 |         fastapi.dependencies.models
import time:     33967 |      33967 |             starlette.background
import time:     26317 |      60283 |           fastapi.background
import time:     32620 |      32620 |           fastapi.concurrency
import time:     88601 |      88601 |           fastapi.utils
import time:     54007 |      54007 |               _hashlib
import time:       147 |        147 |               _blake2
import time:     41889 |      96042 |             hashlib
import time:     29492 |      29492 |             mimetypes
import time:       189 |        189 |                 _hmac
import time:     26006 |      26195 |               hmac
import time:     51275 |      77469 |             secrets
import time:     34805 |     237808 |           starlette.responses
import time:     25609 |      25609 |           starlette.websockets
import time:     40719 |     485637 |         fastapi.dependencies.utils
import time:     48987 |      48987 |             colorsys
import time:     30384 |      79370 |           pydantic.color
import time:      1152 |       1152 |             pydantic_extra_types
import time:        92 |       1243 |           pydantic_extra_types.color
import time:     36101 |     116713 |         fastapi.encoders
import time:     52852 |      52852 |         fastapi.sse
import time:     61498 |      61498 |           starlette._exception_handler
import time:    105192 |     105192 |           starlette.convertors
import time:    112546 |     112546 |           starlette.middleware
import time:     67493 |     346728 |         starlette.routing
import time:     87837 |   14898986 |       fastapi.routing
import time:      3252 |       3252 |         fastapi.websockets
import time:     50350 |      53602 |       fastapi.exception_handlers
import time:      2049 |       2049 |         fastapi.middleware
import time:     98450 |     100498 |       fastapi.middleware.asyncexitstack
import time:     93899 |      93899 |       fastapi.openapi.docs
import time:     61961 |      61961 |             email.feedparser
import time:     38986 |     100946 |           email.parser
import time:     76400 |     177345 |         http.client
import time:     52829 |      52829 |         fastapi.responses
import time:     48654 |     278827 |       fastapi.openapi.utils
import time:     37151 |      37151 |             html.entities
import time:     46521 |      83672 |           html
import time:     19329 |     103000 |         starlette.middleware.errors
import time:     35155 |      35155 |         starlette.middleware.exceptions
import time:     27468 |     165622 |       starlette.applications
import time:    127059 |     127059 |       starlette.middleware.base
import time:    180830 |   16046495 |     fastapi.applications
import time:      1351 |       1351 |     fastapi.requests
import time:     47606 |   16363216 |   fastapi
import time:     31170 |      31170 |     starlette.middleware.cors
import time:    138545 |     169714 |   fastapi.middleware.cors
import time:     43284 |      43284 |     starlette.staticfiles
import time:      1315 |      44599 |   fastapi.staticfiles
import time:      2042 |       2042 |     app
import time:     17850 |      17850 |         sqlalchemy.util.preloaded
import time:     43394 |      43394 |             sqlalchemy.cyextension
import time:    170900 |     170900 |             sqlalchemy.cyextension.collections
import time:     95700 |      95700 |             sqlalchemy.cyextension.immutabledict
import time:     68577 |      68577 |             sqlalchemy.cyextension.processors
import time:    110897 |     110897 |             sqlalchemy.cyextension.resultproxy
import time:    108394 |     108394 |                     _wmi
import time:     32797 |     141191 |                   platform
import time:    372121 |     513311 |                 sqlalchemy.util.compat
import time:     51658 |     564969 |               sqlalchemy.exc
import time:     97000 |     661968 |             sqlalchemy.cyextension.util
import time:     21209 |    1172643 |           sqlalchemy.util._has_cy
import time:     85779 |      85779 |           sqlalchemy.util.typing
import time:     45342 |    1303763 |         sqlalchemy.util._collections
import time:       239 |        239 |                 _heapq
import time:     18193 |      18431 |               heapq
import time:     84431 |      84431 |               asyncio.constants
import time:     28636 |      28636 |               asyncio.coroutines
import time:     74883 |      74883 |                 asyncio.format_helpers
import time:     33253 |      33253 |                   asyncio.base_futures
import time:     33936 |      33936 |                   asyncio.exceptions
import time:     55534 |      55534 |                   asyncio.base_tasks
import time:     70492 |     193214 |                 _asyncio
import time:     65381 |     333476 |               asyncio.events
import time:     29468 |      29468 |               asyncio.futures
import time:     69801 |      69801 |               asyncio.protocols
import time:     82922 |      82922 |                 asyncio.transports
import time:      2464 |       2464 |                 asyncio.log
import time:     35786 |     121171 |               asyncio.sslproto
