import time: self [us] | cumulative | imported package
import time:      3057 |       5131 |                 uuid
import time:      3237 |       3237 |                     sysconfig
import time:       102 |        102 |                     _sysconfig
import time:      7701 |      11039 |                   zoneinfo._tzpath
import time:      5096 |       5096 |                   zoneinfo._common
import time:      1960 |       1960 |                   _zoneinfo
import time:      3203 |      21297 |                 zoneinfo
import time:      1662 |       1662 |                 pydantic.annotated_handlers
import time:     10272 |      10272 |                 pydantic.functional_validators
import time:      2487 |       2487 |                   pydantic._internal._core_metadata
import time:      1685 |       1685 |                   pydantic._internal._schema_generation_shared
import time:      8898 |      13070 |                 pydantic.json_schema
import time:      3989 |       3989 |                 pydantic._internal._discriminated_union
import time:      5661 |       5661 |                 pydantic._internal._known_annotated_metadata
import time:      4728 |       4728 |                 pydantic._internal._schema_gather
import time:      6262 |      80290 |               pydantic._internal._generate_schema
import time:      6092 |       6092 |               pydantic._internal._signature
import time:      3091 |      89472 |             pydantic._internal._model_construction
import time:     10994 |      10994 |               http
import time:      8921 |      19914 |             starlette.exceptions
import time:     34535 |      34535 |               annotated_types
import time:      9615 |       9615 |               pydantic._internal._validators
import time:     25791 |      25791 |               pydantic.types
import time:     19086 |      89026 |             pydantic.fields
import time:      1858 |       1858 |                     importlib._abc
import time:       646 |       2504 |                   importlib.util
import time:     14914 |      14914 |                     zipfile._path.glob
import time:      3100 |      18013 |                   zipfile._path
import time:      9657 |      30173 |                 zipfile
import time:      4595 |       4595 |                 importlib.metadata._meta
import time:      1871 |       1871 |                 importlib.metadata._collections
import time:      1384 |       1384 |                 importlib.metadata._functools
import time:      1300 |       1300 |                 importlib.metadata._itertools
import time:      2558 |       2558 |                 importlib.abc
import time:      5219 |      47097 |               importlib.metadata
import time:      7785 |      54881 |             pydantic.plugin._loader
import time:     53200 |     510419 |           fastapi.exceptions
import time:      5311 |       5311 |             fastapi.openapi
import time:      1841 |       1841 |                 fastapi.types
import time:      2688 |       2688 |                   shlex
import time:      1832 |       1832 |                   starlette.concurrency
import time:      2081 |       2081 |                   starlette.types
import time:      9353 |      15952 |                 starlette.datastructures
import time:      3036 |      20829 |               fastapi._compat.shared
import time:      1370 |       1370 |                 fastapi.openapi.constants
import time:      6751 |       8121 |               fastapi._compat.v2
import time:      2945 |      31893 |             fastapi._compat
import time:      1436 |       1436 |             fastapi.logger
import time:      1266 |       1266 |             email_validator
import time:    444066 |     483969 |           fastapi.openapi.models
import time:      2596 |       2596 |           fastapi.datastructures
import time:      9955 |    1006939 |         fastapi.params
import time:      3330 |       3330 |           fastapi.dependencies
import time:      5072 |       5072 |                 fastapi.security.base
import time:      8245 |       8245 |                   http.cookies
import time:      5428 |       5428 |                   starlette._utils
import time:      3842 |       3842 |                           python_multipart.exceptions
import time:      5941 |       9783 |                         python_multipart.decoders
import time:     11678 |      21461 |                       python_multipart.multipart
import time:      3530 |      24990 |                     python_multipart
import time:      9587 |      34577 |                   starlette.formparsers
import time:      3297 |      51546 |                 starlette.requests
import time:     16111 |      72728 |               fastapi.security.api_key
import time:      2775 |       2775 |                 fastapi.security.utils
import time:      6407 |       9181 |               fastapi.security.http
import time:      2027 |       2027 |                 fastapi.param_functions
import time:      2367 |       4394 |               fastapi.security.oauth2
import time:      2710 |       2710 |               fastapi.security.open_id_connect_url
import time:      5174 |      94184 |             fastapi.security
import time:       166 |      94350 |           fastapi.security.base
import time:     25819 |     123498 |         fastapi.dependencies.models
import time:      1660 |       1660 |             starlette.background
import time:      2465 |       4125 |           fastapi.background
import time:      1520 |       1520 |           fastapi.concurrency
import time:      1908 |       1908 |           fastapi.utils
import time:      4618 |       4618 |               _hashlib
import time:       252 |        252 |               _blake2
import time:      2400 |       7269 |             hashlib
import time:      2646 |       2646 |             mimetypes
import time:       276 |        276 |                 _hmac
import time:      2421 |       2697 |               hmac
import time:      3816 |       6513 |             secrets
import time:     24970 |      41396 |           starlette.responses
import time:      2608 |       2608 |           starlette.websockets
import time:     16496 |      68050 |         fastapi.dependencies.utils
import time:      8034 |       8034 |             colorsys
import time:      5237 |      13270 |           pydantic.color
import time:      1288 |       1288 |             pydantic_extra_types
import time:       111 |       1399 |           pydantic_extra_types.color
import time:      8869 |      23538 |         fastapi.encoders
import time:      8346 |       8346 |         fastapi.sse
import time:      1877 |       1877 |           starlette._exception_handler
import time:      2490 |       2490 |           starlette.convertors
import time:      2162 |       2162 |           starlette.middleware
import time:     10373 |      16900 |         starlette.routing
import time:      5716 |    1812934 |       fastapi.routing
import time:      2564 |       2564 |         fastapi.websockets
import time:      1875 |       4439 |       fastapi.exception_handlers
import time:      2402 |       2402 |         fastapi.middleware
import time:      2831 |       5233 |       fastapi.middleware.asyncexitstack
import time:      2273 |       2273 |       fastapi.openapi.docs
import time:      3144 |       3144 |             email.feedparser
import time:      1671 |       4814 |           email.parser
import time:      3926 |       8740 |         http.client
import time:      4349 |       4349 |         fastapi.responses
import time:      2170 |      15258 |       fastapi.openapi.utils
import time:      7916 |       7916 |             html.entities
import time:      2891 |      10807 |           html
import time:      2275 |      13082 |         starlette.middleware.errors
import time:      7846 |       7846 |         starlette.middleware.exceptions
import time:      1785 |      22712 |       starlette.applications
import time:      3816 |       3816 |       starlette.middleware.base
import time:      5128 |    1914332 |     fastapi.applications
import time:      1598 |       1598 |     fastapi.requests
import time:      2824 |    1942377 |   fastapi
import time:      5497 |       5497 |     starlette.middleware.cors
import time:      1405 |       6902 |   fastapi.middleware.cors
import time:      1868 |       1868 |     starlette.staticfiles
import time:      1390 |       3258 |   fastapi.staticfiles
import time:      2010 |       2010 |     app
import time:      9608 |       9608 |         sqlalchemy.util.preloaded
import time:      1910 |       1910 |             sqlalchemy.cyextension
import time:      2336 |       2336 |             sqlalchemy.cyextension.collections
import time:      1804 |       1804 |             sqlalchemy.cyextension.immutabledict
import time:      2407 |       2407 |             sqlalchemy.cyextension.processors
import time:      1661 |       1661 |             sqlalchemy.cyextension.resultproxy
import time:      6276 |       6276 |                     _wmi
import time:      3881 |      10156 |                   platform
import time:    112817 |     122972 |                 sqlalchemy.util.compat
import time:     14018 |     136990 |               sqlalchemy.exc
import time:      2018 |     139008 |             sqlalchemy.cyextension.util
import time:      2190 |     151314 |           sqlalchemy.util._has_cy
import time:      3389 |       3389 |           sqlalchemy.util.typing
import time:      3703 |     158405 |         sqlalchemy.util._collections
import time:       126 |        126 |                 _heapq
import time:      1460 |       1586 |               heapq
import time:      2227 |       2227 |               asyncio.constants
import time:      4606 |       4606 |               asyncio.coroutines
import time:      3079 |       3079 |                 asyncio.format_helpers
import time:      3262 |       3262 |                   asyncio.base_futures
import time:      3140 |       3140 |                   asyncio.exceptions
import time:      2723 |       2723 |                   asyncio.base_tasks
import time:      1755 |      10879 |                 _asyncio
import time:     15230 |      29187 |               asyncio.events
import time:      6338 |       6338 |               asyncio.futures
import time:      4043 |       4043 |               asyncio.protocols
import time:      4605 |       4605 |                 asyncio.transports
import time:      1231 |       1231 |                 asyncio.log
import time:     17541 |      23375 |               asyncio.sslproto
import time:      8026 |       8026 |                   asyncio.mixins
import time:     14849 |      22874 |                 asyncio.locks
import time:      9002 |       9002 |                   asyncio.queues
import time:      8498 |       8498 |                   asyncio.timeouts
import time:     20837 |      38335 |                 asyncio.tasks
import time:      4777 |      65985 |               asyncio.staggered
import time:      2856 |       2856 |               asyncio.trsock
import time:     64113 |     204313 |             asyncio.base_events
import time:      7132 |       7132 |             asyncio.graph
import time:      5350 |       5350 |             asyncio.runners
import time:     13299 |      13299 |             asyncio.streams
import time:      6393 |       6393 |             asyncio.subprocess
import time:      5855 |       5855 |             asyncio.taskgroups
import time:      2394 |       2394 |             asyncio.threads
import time:      2427 |       2427 |               _overlapped
import time:      7808 |       7808 |               asyncio.base_subprocess
import time:     30068 |      30068 |               asyncio.proactor_events
import time:      1244 |       1244 |                   select
import time:      2682 |       3926 |                 selectors
import time:     34077 |      38002 |               asyncio.selector_events
import time:      4534 |       4534 |               asyncio.windows_utils
import time:     23786 |     106624 |             asyncio.windows_events
import time:      4294 |     355650 |           asyncio
import time:      3597 |       3597 |             greenlet._greenlet
import time:      1920 |       5516 |           greenlet
import time:      7144 |       7144 |             sqlalchemy.util.langhelpers
import time:      2277 |       9420 |           sqlalchemy.util._concurrency_py3k
import time:      1567 |     372152 |         sqlalchemy.util.concurrency
import time:      1985 |       1985 |         sqlalchemy.util.deprecations
import time:     13042 |     555190 |       sqlalchemy.util
import time:      1918 |       1918 |                         sqlalchemy.event.registry
import time:      1434 |       3352 |                       sqlalchemy.event.legacy
import time:      2664 |       6015 |                     sqlalchemy.event.attr
import time:      3070 |       9085 |                   sqlalchemy.event.base
import time:      1350 |      10435 |                 sqlalchemy.event.api
import time:      1158 |      11592 |               sqlalchemy.event
import time:      1489 |       1489 |                     sqlalchemy.log
import time:      6293 |       7782 |                   sqlalchemy.pool.base
import time:      2736 |      10518 |                 sqlalchemy.pool.events
import time:      3038 |       3038 |                   sqlalchemy.util.queue
import time:      2370 |       5408 |                 sqlalchemy.pool.impl
import time:      1681 |      17605 |               sqlalchemy.pool
import time:      4141 |       4141 |                     sqlalchemy.sql.roles
import time:      2876 |       2876 |                     sqlalchemy.inspection
import time:     11181 |      18197 |                   sqlalchemy.sql._typing
import time:      6682 |       6682 |                     sqlalchemy.sql.visitors
import time:     21334 |      21334 |                     sqlalchemy.sql.cache_key
import time:      4312 |       4312 |                       sqlalchemy.sql.operators
import time:      3327 |       7638 |                     sqlalchemy.sql.traversals
import time:     12212 |      47864 |                   sqlalchemy.sql.base
import time:      6447 |       6447 |                     sqlalchemy.sql.coercions
import time:      3053 |       3053 |                           sqlalchemy.sql.annotation
import time:     17889 |      17889 |                               sqlalchemy.sql.type_api
import time:     24717 |      42606 |                             sqlalchemy.sql.elements
import time:      1507 |       1507 |                             sqlalchemy.util.topological
import time:      5963 |      50075 |                           sqlalchemy.sql.ddl
import time:      2318 |       2318 |                                   _compat_pickle
import time:       420 |        420 |                                   _pickle
import time:      4256 |       6992 |                                 pickle
import time:      3390 |       3390 |                                   sqlalchemy.engine._py_processors
import time:      1716 |       5106 |                                 sqlalchemy.engine.processors
import time:     17738 |      29835 |                               sqlalchemy.sql.sqltypes
import time:     29620 |      59455 |                             sqlalchemy.sql.selectable
import time:     10987 |      70441 |                           sqlalchemy.sql.schema
import time:     17104 |     140672 |                         sqlalchemy.sql.util
import time:      9160 |     149831 |                       sqlalchemy.sql.dml
import time:      9588 |     159419 |                     sqlalchemy.sql.crud
import time:     12375 |      12375 |                     sqlalchemy.sql.functions
import time:     14066 |     192306 |                   sqlalchemy.sql.compiler
import time:      1931 |       1931 |                     sqlalchemy.sql._dml_constructors
import time:      1907 |       1907 |                     sqlalchemy.sql._elements_constructors
import time:      2081 |       2081 |                     sqlalchemy.sql._selectable_constructors
import time:      4337 |       4337 |                     sqlalchemy.sql.lambdas
import time:      2096 |      12351 |                   sqlalchemy.sql.expression
import time:      1893 |       1893 |                   sqlalchemy.sql.default_comparator
import time:      2011 |       2011 |                     sqlalchemy.sql.events
import time:      1546 |       3556 |                   sqlalchemy.sql.naming
import time:     32885 |     309048 |                 sqlalchemy.sql
import time:        84 |     309132 |               sqlalchemy.sql.compiler
import time:      8604 |     346932 |             sqlalchemy.engine.interfaces
import time:      1620 |       1620 |             sqlalchemy.engine.util
import time:      3312 |     351863 |           sqlalchemy.engine.base
import time:      5087 |     356949 |         sqlalchemy.engine.events
import time:      1246 |       1246 |             sqlalchemy.dialects
import time:      2462 |       3708 |           sqlalchemy.engine.url
import time:      1192 |       1192 |           sqlalchemy.engine.mock
import time:      2235 |       7133 |         sqlalchemy.engine.create
import time:      4186 |       4186 |             sqlalchemy.engine.row
import time:     10368 |      14554 |           sqlalchemy.engine.result
import time:      5763 |      20316 |         sqlalchemy.engine.cursor
import time:      7696 |       7696 |         sqlalchemy.engine.reflection
import time:      2125 |     394218 |       sqlalchemy.engine
import time:      1614 |       1614 |       sqlalchemy.schema
import time:      1096 |       1096 |       sqlalchemy.types
import time:      1301 |       1301 |         sqlalchemy.engine.characteristics
import time:      3647 |       4948 |       sqlalchemy.engine.default
import time:      3602 |     960667 |     sqlalchemy
import time:      1964 |       1964 |                   sqlalchemy.sql._orm_types
import time:      7524 |       9488 |                 sqlalchemy.orm._typing
import time:      9746 |      19233 |               sqlalchemy.orm.base
import time:      2069 |       2069 |               sqlalchemy.orm.mapped_collection
import time:      4970 |      26271 |             sqlalchemy.orm.collections
import time:      3124 |       3124 |               sqlalchemy.orm.path_registry
import time:      4954 |       8077 |             sqlalchemy.orm.interfaces
import time:      6815 |      41163 |           sqlalchemy.orm.attributes
import time:      4434 |      45597 |         sqlalchemy.orm.util
import time:      2199 |      47795 |       sqlalchemy.orm.exc
import time:      6655 |       6655 |           sqlalchemy.orm.state
import time:      3921 |      10575 |         sqlalchemy.orm.instrumentation
import time:      1789 |       1789 |               sqlalchemy.future.engine
import time:      1641 |       3429 |             sqlalchemy.future
import time:      5210 |       8639 |           sqlalchemy.orm.context
import time:     15881 |      15881 |               sqlalchemy.orm.strategy_options
import time:      8586 |       8586 |               sqlalchemy.orm.descriptor_props
import time:     12118 |      12118 |               sqlalchemy.orm.relationships
import time:      4509 |      41093 |             sqlalchemy.orm.properties
import time:     33122 |      33122 |             sqlalchemy.orm.query
import time:      2886 |       2886 |             sqlalchemy.orm.unitofwork
import time:      4792 |       4792 |                 sqlalchemy.orm.evaluator
import time:      1985 |       1985 |                   sqlalchemy.orm.sync
import time:      3067 |       5051 |                 sqlalchemy.orm.persistence
import time:      8933 |      18775 |               sqlalchemy.orm.bulk_persistence
import time:      2664 |       2664 |               sqlalchemy.orm.identity
import time:      2376 |       2376 |               sqlalchemy.orm.state_changes
import time:     22496 |      46310 |             sqlalchemy.orm.session
import time:      6112 |     129520 |           sqlalchemy.orm.strategies
import time:      3383 |     141541 |         sqlalchemy.orm.loading
import time:      7811 |     159926 |       sqlalchemy.orm.mapper
import time:     17790 |      17790 |       sqlalchemy.orm._orm_constructors
import time:      3012 |       3012 |         sqlalchemy.orm.clsregistry
import time:      7601 |       7601 |         sqlalchemy.orm.decl_base
import time:     11766 |      22378 |       sqlalchemy.orm.decl_api
import time:      6946 |       6946 |         sqlalchemy.orm.writeonly
import time:      3061 |      10006 |       sqlalchemy.orm.dynamic
import time:      4376 |       4376 |         sqlalchemy.orm.scoping
import time:     17366 |      21742 |       sqlalchemy.orm.events
import time:      3633 |       3633 |       sqlalchemy.orm.dependency
import time:      2880 |     286148 |     sqlalchemy.orm
import time:      9914 |       9914 |           dotenv.parser
import time:      2767 |       2767 |           dotenv.variables
import time:      2789 |      15469 |         dotenv.main
import time:      2699 |      18168 |       dotenv
import time:     15512 |      33680 |     app.config
import time:      1072 |       1072 |         sqlalchemy.dialects.postgresql.operators
import time:      2315 |       3386 |       sqlalchemy.dialects.postgresql.array
import time:      2024 |       2024 |         sqlalchemy.dialects.postgresql.json
import time:      6858 |       6858 |         sqlalchemy.dialects.postgresql.ranges
import time:      1825 |       1825 |             sqlalchemy.dialects.postgresql.types
import time:     18980 |      20805 |           sqlalchemy.dialects.postgresql.pg_catalog
import time:      3429 |       3429 |           sqlalchemy.dialects.postgresql.ext
import time:      3162 |       3162 |           sqlalchemy.dialects.postgresql.hstore
import time:      2095 |       2095 |           sqlalchemy.dialects.postgresql.named_types
import time:     12064 |      41553 |         sqlalchemy.dialects.postgresql.base
import time:      1868 |       1868 |           sqlalchemy.connectors
import time:      4073 |       5941 |         sqlalchemy.connectors.asyncio
import time:      6184 |      62557 |       sqlalchemy.dialects.postgresql.asyncpg
import time:      5189 |       5189 |       sqlalchemy.dialects.postgresql.pg8000
import time:      2278 |       2278 |         sqlalchemy.dialects.postgresql._psycopg_common
import time:      3877 |       6155 |       sqlalchemy.dialects.postgresql.psycopg
import time:      3025 |       3025 |       sqlalchemy.dialects.postgresql.psycopg2
import time:      1718 |       1718 |       sqlalchemy.dialects.postgresql.psycopg2cffi
import time:      1438 |       1438 |         sqlalchemy.dialects._typing
import time:      3899 |       5337 |       sqlalchemy.dialects.postgresql.dml
import time:      2835 |      90201 |     sqlalchemy.dialects.postgresql
import time:      1691 |       1691 |         psycopg2.errors
import time:     21567 |      23257 |       psycopg2._psycopg
import time:      1630 |       1630 |         psycopg2._json
import time:      3998 |       3998 |         psycopg2._range
import time:      2525 |       8152 |       psycopg2.extensions
import time:      3112 |      34521 |     psycopg2
import time:      1768 |       1768 |       psycopg2._ipaddress
import time:      6046 |       7814 |     psycopg2.extras
import time:      8891 |    1423928 |   app.database
import time:      1025 |       1025 |   app.routers
import time:     63915 |      63915 |     app.models
import time:    116722 |     116722 |     app.schemas
import time:      2377 |       2377 |         jose.exceptions
import time:      2552 |       4929 |       jose
import time:      6477 |       6477 |         calendar
import time:      1353 |       1353 |                         cryptography
import time:       117 |       1469 |                       cryptography.utils
import time:      4472 |       4472 |                           six
import time:       945 |        945 |                                 gmpy2
import time:      1143 |       1143 |                                 gmpy
import time:       166 |        166 |                                   six.moves
import time:      1301 |       1301 |                                   gmpy2
import time:      1198 |       1198 |                                   gmpy
import time:       973 |        973 |                                       ecdsa._compat
import time:      1138 |       2111 |                                     ecdsa.der
import time:      1584 |       3694 |                                   ecdsa.util
import time:      2102 |       8460 |                                 ecdsa.numbertheory
import time:       926 |        926 |                                 ecdsa.errors
import time:      3136 |      14608 |                               ecdsa.ellipticcurve
import time:      3029 |      17636 |                             ecdsa.ecdsa
import time:      1676 |       1676 |                               ecdsa._sha3
import time:      2576 |       4251 |                             ecdsa.eddsa
import time:      1907 |       1907 |                             ecdsa.ssh
import time:      1751 |       1751 |                             ecdsa.rfc6979
import time:      3996 |       3996 |                             ecdsa.curves
import time:      2733 |      32273 |                           ecdsa.keys
import time:      2177 |       2177 |                           ecdsa.ecdh
import time:      1999 |       1999 |                           ecdsa._version
import time:      3096 |      44014 |                         ecdsa
import time:        94 |      44107 |                       ecdsa.ecdsa
import time:      3792 |      49368 |                     jose.utils
import time:      1649 |      51017 |                   jose.backends.base
import time:      2050 |       2050 |                   jose.constants
import time:      2290 |      55356 |                 jose.backends.native
import time:       795 |        795 |                     cryptography
import time:        90 |        884 |                   cryptography.exceptions
import time:      1863 |       2747 |                 jose.backends.cryptography_backend
import time:     23663 |      23663 |                         rsa.common
import time:      2820 |       2820 |                           rsa.transform
import time:      2565 |       5384 |                         rsa.randnum
import time:      3546 |      32593 |                       rsa.prime
import time:      7701 |       7701 |                       rsa.pem
